date,time,latitude,longitude,number_of_persons_injured,number_of_persons_killed,contributing_factor_vehicle_1
2022-03-26,16:00:00,40.67046,-73.88788,1,0,Driver Inattention/Distraction
2022-03-26,23:17:00,40.72224,-73.9863,1,0,Following Too Closely
2022-03-23,09:00:00,40.67639,-73.97189,1,0,Traffic Control Disregarded
2022-03-26,05:00:00,40.88893,-73.86579,0,0,Following Too Closely
2022-03-25,06:15:00,40.80118,-73.93975,1,0,Traffic Control Disregarded
2022-03-26,21:50:00,40.757668,-73.95915,1,0,Driver Inattention/Distraction
2022-03-26,21:25:00,40.668896,-73.95339,0,0,Driver Inattention/Distraction
2022-03-25,18:13:00,40.63654,-73.97707,2,0,Unspecified
2022-03-26,20:10:00,40.831055,-73.905846,1,0,Unspecified
2022-03-25,12:55:00,40.85868,-73.89922,0,0,Passing Too Closely
2022-03-23,11:00:00,40.62466,-74.17856,0,0,Driver Inattention/Distraction
2022-03-26,03:05:00,40.63947,-73.902756,1,0,Unspecified
2022-03-26,04:34:00,40.86173,-73.91182,1,0,Unspecified
2022-03-26,19:56:00,40.69538,-73.985115,0,0,Unspecified
2022-03-26,12:40:00,40.63063,-74.00923,0,0,Unspecified
2022-03-26,01:58:00,40.82707,-73.87075,0,0,Turning Improperly
2022-03-26,19:56:00,40.60548,-73.93922,0,0,Unspecified
2022-03-26,00:30:00,40.692593,-73.91551,0,0,Unspecified
2022-03-26,20:05:00,40.680664,-73.902626,0,0,Driver Inattention/Distraction
2022-03-26,17:54:00,40.645718,-73.95002,4,0,Passing Too Closely
2022-03-25,17:55:00,40.68327,-73.95016,0,0,Traffic Control Disregarded
2021-12-12,09:09:00,40.84036,-73.91807,0,1,Unspecified
2022-03-26,16:35:00,40.577652,-73.96344,0,0,Driver Inattention/Distraction
2022-03-26,19:50:00,40.730145,-73.99781,1,0,Passenger Distraction
2022-03-26,13:19:00,40.67478,-73.806206,0,0,Failure to Yield Right-of-Way
2022-03-25,08:45:00,40.624622,-73.97598,2,0,Unspecified
2022-03-26,10:10:00,40.67271,-73.97089,0,0,Passing or Lane Usage Improper
2022-03-26,11:45:00,40.7314,-73.926094,1,0,Reaction to Uninvolved Vehicle
2022-03-25,14:35:00,40.632786,-74.13712,1,0,Failure to Yield Right-of-Way
2022-03-26,14:30:00,40.596733,-74.07045,0,0,Backing Unsafely
2022-03-26,19:00:00,40.617645,-73.92092,0,0,Backing Unsafely
2022-03-26,16:40:00,40.68651,-73.98378,2,0,Passing or Lane Usage Improper
2022-03-24,18:05:00,40.69831,-73.9498,0,0,Driver Inattention/Distraction
2022-03-26,03:35:00,40.692455,-73.76814,1,0,Reaction to Uninvolved Vehicle
2022-03-20,10:34:00,40.778805,-73.974075,1,0,Backing Unsafely
2022-03-26,14:54:00,40.747894,-73.989174,0,0,Passing or Lane Usage Improper
2022-03-25,06:35:00,40.83578,-73.871445,0,0,Following Too Closely
2022-03-25,14:00:00,40.61763,-74.133575,0,0,Driver Inattention/Distraction
2022-03-21,19:13:00,40.731407,-73.99698,1,0,Driver Inattention/Distraction
2022-03-26,05:02:00,40.60784,-73.961975,0,0,Fell Asleep
2022-03-25,09:45:00,40.752563,-73.74328,0,0,Unspecified
